               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.053769,              0.0152,            0.040779,            0.097064,             0.76667,             0.17726,            0.059461,            0.065755,           0.0075171,            0.038806,           0.0096535,           0.0096535,           0.0096535
                  37,            0.069087,            0.013524,            0.040042,             0.59499,                0.45,             0.39624,             0.19214,            0.056485,           0.0070059,             0.03805,           0.0096436,           0.0096436,           0.0096436
                  38,            0.054675,            0.016447,            0.040728,             0.31359,                0.85,             0.44008,              0.2494,            0.039938,           0.0071862,            0.037992,           0.0096337,           0.0096337,           0.0096337
                  39,            0.051858,            0.014697,            0.040237,             0.26529,             0.96667,             0.48156,             0.18367,            0.048585,           0.0069451,            0.038016,           0.0096238,           0.0096238,           0.0096238
                  40,            0.046041,            0.015152,            0.039578,             0.23392,             0.63333,             0.40998,             0.14789,            0.046494,           0.0072279,            0.038099,           0.0096139,           0.0096139,           0.0096139
                  41,            0.051286,            0.014459,            0.039529,             0.26959,                0.65,             0.47705,             0.13225,            0.045778,           0.0071667,            0.037944,            0.009604,            0.009604,            0.009604
                  42,            0.045965,            0.012797,             0.03905,             0.20896,             0.68333,             0.44396,             0.19567,            0.056257,            0.006714,            0.037779,           0.0095941,           0.0095941,           0.0095941
                  43,            0.053919,            0.013952,            0.039791,              0.3505,                 0.8,             0.53397,             0.26361,            0.043563,           0.0064541,            0.037721,           0.0095842,           0.0095842,           0.0095842
                  44,            0.047101,            0.014209,            0.039281,             0.28482,             0.76667,             0.41555,             0.16233,            0.047788,           0.0063373,            0.037511,           0.0095743,           0.0095743,           0.0095743
                  45,            0.053086,            0.012613,            0.038345,             0.27423,                 0.7,             0.45156,             0.24552,            0.036426,           0.0059988,            0.036821,           0.0095644,           0.0095644,           0.0095644
                  46,            0.039258,            0.012666,            0.038959,              0.3698,                 0.9,             0.55033,              0.2771,            0.038914,           0.0059191,            0.036698,           0.0095545,           0.0095545,           0.0095545
                  47,            0.045467,            0.012088,             0.03925,             0.25512,             0.78963,             0.42118,             0.22654,            0.050276,           0.0057182,            0.036162,           0.0095446,           0.0095446,           0.0095446
                  48,             0.05122,             0.01249,            0.038909,             0.29363,                 0.9,             0.44268,             0.14671,            0.041403,           0.0057333,            0.035771,           0.0095347,           0.0095347,           0.0095347
                  49,            0.045826,             0.01241,            0.038757,             0.30974,             0.91589,             0.49095,             0.23591,            0.043581,           0.0055647,            0.035496,           0.0095248,           0.0095248,           0.0095248
                  50,            0.045638,            0.012331,            0.037701,             0.35429,              0.8565,             0.56504,             0.31719,            0.034237,           0.0053951,            0.035328,           0.0095149,           0.0095149,           0.0095149
                  51,            0.040967,            0.010506,            0.038882,             0.25183,             0.87328,             0.43262,             0.19973,            0.043521,           0.0054412,            0.035088,            0.009505,            0.009505,            0.009505
                  52,            0.043963,            0.012143,            0.039014,             0.34768,             0.92082,              0.5687,             0.31727,            0.042232,           0.0056802,            0.034782,           0.0094951,           0.0094951,           0.0094951
                  53,            0.050871,            0.010827,            0.037925,             0.39591,              0.8543,             0.63551,             0.24218,            0.040967,            0.005289,            0.034779,           0.0094852,           0.0094852,           0.0094852
                  54,            0.042492,            0.012093,            0.037594,             0.34153,             0.73836,             0.49737,             0.27649,            0.043807,           0.0054157,            0.034154,           0.0094753,           0.0094753,           0.0094753
                  55,            0.050035,            0.011183,            0.037717,              0.3595,             0.66685,             0.55206,             0.29456,             0.03311,           0.0049435,            0.033913,           0.0094654,           0.0094654,           0.0094654
                  56,            0.041124,            0.012593,            0.037881,              0.4204,              0.8171,             0.62302,              0.3462,            0.043572,           0.0050426,            0.033388,           0.0094555,           0.0094555,           0.0094555
                  57,             0.05187,            0.011339,            0.037407,             0.52234,             0.91226,             0.73608,             0.37978,            0.032238,           0.0049265,            0.033083,           0.0094456,           0.0094456,           0.0094456
                  58,            0.040015,            0.010863,            0.036722,             0.38523,                0.85,             0.57857,             0.28807,             0.04613,           0.0049831,            0.032506,           0.0094357,           0.0094357,           0.0094357
                  59,            0.048459,            0.011646,             0.03617,             0.38061,                 0.8,             0.58139,             0.35889,            0.032107,           0.0046883,            0.031843,           0.0094258,           0.0094258,           0.0094258
                  60,            0.037641,            0.010242,            0.035802,             0.52511,             0.76382,              0.6385,             0.31787,            0.044403,           0.0052314,            0.031445,           0.0094159,           0.0094159,           0.0094159
                  61,            0.043772,            0.012039,            0.035893,             0.65705,             0.83393,             0.76024,             0.49405,            0.026729,           0.0048047,            0.030614,            0.009406,            0.009406,            0.009406
                  62,            0.038772,            0.010335,             0.03463,             0.48069,             0.78333,             0.62406,             0.31995,            0.049157,            0.005066,            0.030243,           0.0093961,           0.0093961,           0.0093961
                  63,             0.04491,            0.010019,            0.035775,             0.62726,             0.84649,             0.76435,             0.45725,            0.026548,           0.0045646,            0.029862,           0.0093862,           0.0093862,           0.0093862
                  64,            0.036145,            0.010063,             0.03364,             0.50507,             0.71667,             0.61537,             0.36732,             0.04158,           0.0051045,            0.028812,           0.0093763,           0.0093763,           0.0093763
                  65,            0.039669,            0.011018,            0.032945,             0.66249,             0.98333,              0.7705,              0.4133,            0.032429,           0.0048118,            0.028122,           0.0093664,           0.0093664,           0.0093664
                  66,            0.037972,            0.010195,            0.033263,             0.51344,             0.90323,             0.72049,             0.45686,             0.03739,           0.0050015,            0.028074,           0.0093565,           0.0093565,           0.0093565
                  67,            0.040567,            0.010004,            0.032352,              0.5107,             0.98867,             0.70454,             0.43514,            0.028757,           0.0046832,            0.027078,           0.0093466,           0.0093466,           0.0093466
                  68,            0.041448,            0.010414,            0.031768,             0.65504,             0.77701,             0.72504,              0.4137,            0.036369,           0.0047054,            0.026443,           0.0093367,           0.0093367,           0.0093367
                  69,            0.038985,            0.010368,            0.030897,             0.62783,                0.85,              0.7816,             0.51068,             0.02861,           0.0046304,             0.02502,           0.0093268,           0.0093268,           0.0093268
                  70,            0.042362,           0.0093902,            0.029468,              0.4766,                   1,             0.77712,             0.40235,            0.037378,           0.0046997,            0.023962,           0.0093169,           0.0093169,           0.0093169
                  71,            0.040567,             0.01027,            0.030073,             0.66684,             0.83333,             0.76743,             0.46456,            0.028711,            0.004773,            0.024863,            0.009307,            0.009307,            0.009307
                  72,            0.035466,            0.010983,            0.030362,             0.65602,             0.89848,             0.77897,              0.4378,             0.03324,           0.0047544,            0.023391,           0.0092971,           0.0092971,           0.0092971
                  73,            0.043042,           0.0097472,            0.028521,             0.61004,             0.88333,             0.71836,             0.43671,            0.044734,           0.0048286,            0.022007,           0.0092872,           0.0092872,           0.0092872
                  74,            0.040925,            0.009155,            0.027708,             0.65815,                   1,             0.79206,             0.51628,            0.027723,           0.0046479,             0.02089,           0.0092773,           0.0092773,           0.0092773
                  75,            0.032879,           0.0093012,            0.028063,             0.55239,             0.93333,             0.78879,             0.50686,            0.041379,           0.0047574,            0.020304,           0.0092674,           0.0092674,           0.0092674
                  76,            0.038565,            0.011368,            0.028197,             0.64825,             0.98333,             0.83099,             0.50278,            0.032951,           0.0047493,            0.019899,           0.0092575,           0.0092575,           0.0092575
                  77,            0.040218,           0.0097946,            0.026436,             0.67029,             0.92519,             0.81913,             0.41504,            0.039956,           0.0048779,            0.019127,           0.0092476,           0.0092476,           0.0092476
                  78,            0.040706,            0.010155,            0.025895,             0.68552,             0.96507,             0.87253,             0.52613,            0.031364,           0.0043902,            0.018721,           0.0092377,           0.0092377,           0.0092377
                  79,            0.037727,           0.0094562,            0.024489,             0.61551,                0.95,             0.87407,              0.3935,            0.036913,           0.0046571,            0.018824,           0.0092278,           0.0092278,           0.0092278
                  80,            0.042373,           0.0096587,             0.02562,             0.77201,             0.99845,              0.8837,             0.63783,            0.027978,           0.0043406,            0.018578,           0.0092179,           0.0092179,           0.0092179
                  81,            0.037134,           0.0097973,            0.024153,             0.55762,             0.98474,               0.858,             0.39721,            0.036062,           0.0044363,            0.018841,            0.009208,            0.009208,            0.009208
                  82,            0.041355,           0.0096449,            0.026641,             0.84361,             0.97992,             0.94578,             0.58067,            0.030203,           0.0042432,            0.017966,           0.0091981,           0.0091981,           0.0091981
                  83,            0.030572,           0.0077258,            0.024862,             0.76333,             0.94066,             0.92104,              0.4851,            0.034503,           0.0045964,            0.018079,           0.0091882,           0.0091882,           0.0091882
                  84,            0.037012,           0.0091378,            0.024568,             0.77643,                   1,             0.85834,             0.57174,            0.031593,           0.0042198,            0.018974,           0.0091783,           0.0091783,           0.0091783
                  85,            0.038997,           0.0097725,            0.023695,             0.82781,             0.96073,             0.86742,             0.42912,            0.032965,           0.0044689,            0.019609,           0.0091684,           0.0091684,           0.0091684
                  86,            0.036882,           0.0096498,            0.024166,             0.83764,                   1,             0.87219,             0.56237,            0.028635,           0.0043535,            0.020179,           0.0091585,           0.0091585,           0.0091585
                  87,            0.035556,           0.0088989,            0.022266,             0.75562,             0.93744,             0.83447,             0.48129,            0.031982,           0.0045729,            0.020438,           0.0091486,           0.0091486,           0.0091486
                  88,             0.03684,           0.0093069,            0.021674,             0.79432,             0.96618,             0.81314,             0.51739,            0.036371,            0.004361,            0.019811,           0.0091387,           0.0091387,           0.0091387
                  89,            0.039949,            0.008189,            0.023143,              0.8368,             0.98532,              0.9339,             0.65169,            0.027508,           0.0042198,            0.017105,           0.0091288,           0.0091288,           0.0091288
                  90,            0.031596,           0.0096806,            0.025707,             0.81629,             0.98416,              0.8879,             0.58113,            0.031362,           0.0042972,            0.017417,           0.0091189,           0.0091189,           0.0091189
                  91,            0.036394,            0.009489,            0.022069,             0.79485,                   1,             0.88564,             0.53804,            0.028156,           0.0042258,            0.016624,            0.009109,            0.009109,            0.009109
                  92,            0.033469,           0.0099667,            0.022054,             0.80156,                   1,             0.86356,              0.5342,             0.02675,           0.0043188,            0.016764,           0.0090991,           0.0090991,           0.0090991
                  93,            0.033703,           0.0089941,            0.022101,             0.69785,             0.98542,             0.86761,             0.55804,            0.029483,           0.0043849,            0.018158,           0.0090892,           0.0090892,           0.0090892
                  94,            0.038541,            0.008431,            0.021203,             0.83886,                   1,             0.96457,             0.57454,            0.026358,           0.0042205,            0.014288,           0.0090793,           0.0090793,           0.0090793
                  95,            0.030094,           0.0079685,            0.020367,             0.78241,             0.99281,             0.99038,             0.58889,             0.03934,           0.0042247,            0.013377,           0.0090694,           0.0090694,           0.0090694
                  96,            0.043262,           0.0098615,            0.019991,             0.98278,             0.99776,               0.995,              0.6778,            0.027152,           0.0042131,            0.012997,           0.0090595,           0.0090595,           0.0090595
                  97,            0.032204,           0.0095041,            0.021369,             0.74178,             0.96267,             0.93585,             0.56138,            0.029416,           0.0044118,            0.013032,           0.0090496,           0.0090496,           0.0090496
                  98,            0.033862,           0.0098396,            0.020057,             0.95278,             0.98709,             0.96773,             0.62893,            0.025846,           0.0042671,            0.012977,           0.0090397,           0.0090397,           0.0090397
                  99,            0.030967,           0.0098828,            0.019805,             0.85798,             0.95183,             0.96621,              0.5516,            0.027559,           0.0042102,             0.01307,           0.0090298,           0.0090298,           0.0090298
                 100,            0.035607,           0.0080257,            0.019287,             0.94045,             0.94208,             0.95693,             0.72245,            0.027921,           0.0041277,            0.013259,           0.0090199,           0.0090199,           0.0090199
                 101,            0.034243,           0.0091578,            0.020394,             0.86627,             0.88863,             0.95714,             0.65253,            0.028468,           0.0040946,            0.016533,             0.00901,             0.00901,             0.00901
                 102,            0.033022,            0.009431,            0.017806,             0.73254,             0.93177,             0.94366,             0.52743,            0.028653,           0.0041553,            0.018771,           0.0090001,           0.0090001,           0.0090001
                 103,            0.032485,           0.0086225,            0.016729,             0.97922,             0.97161,               0.995,             0.76287,            0.024349,           0.0039967,            0.011125,           0.0089902,           0.0089902,           0.0089902
                 104,            0.031831,           0.0084256,            0.016502,             0.96572,             0.98154,             0.99262,              0.5673,            0.031191,           0.0041503,            0.010474,           0.0089803,           0.0089803,           0.0089803
                 105,            0.037461,           0.0094513,            0.017119,             0.83621,             0.98663,             0.96613,             0.67711,            0.026819,           0.0042244,            0.010052,           0.0089704,           0.0089704,           0.0089704
                 106,            0.032162,           0.0072475,            0.017907,             0.99404,                   1,               0.995,             0.70711,            0.026662,           0.0042818,           0.0097027,           0.0089605,           0.0089605,           0.0089605
                 107,            0.031955,           0.0084398,            0.016563,             0.91961,                   1,             0.99083,              0.7886,            0.028945,           0.0042314,           0.0093663,           0.0089506,           0.0089506,           0.0089506
